age,tenure_years,num_claims,policy_type,annual_premium,churn
44,11,0,Motor,581.85,0
75,1,0,Motor,786.9,0
42,2,1,Motor,721.15,1
47,10,1,Motor,697.17,0
63,7,1,Life,645.9,0
22,2,1,Health,576.8,0
57,5,1,Motor,647.44,0
79,11,0,Health,727.9,1
67,2,2,Motor,748.92,0
46,1,1,Life,650.46,0
63,4,2,Health,783.88,0
59,12,1,Health,646.07,0
61,11,2,Motor,774.97,0
79,8,1,Health,739.95,0
27,3,1,Life,492.68,1
79,6,0,Health,721.46,0
40,7,0,Health,594.51,0
18,9,3,Motor,594.96,0
44,11,1,Life,584.95,0
66,2,0,Health,689.16,0
18,10,1,Health,563.43,0
29,11,1,Motor,582.39,0
29,6,0,Health,470.06,1
42,10,0,Health,538.68,0
31,3,1,Health,507.87,0
31,2,0,Life,423.35,0
72,7,1,Motor,765.64,0
55,12,1,Health,696.18,0
68,4,2,Motor,647.83,1
67,12,1,Health,689.66,0
56,1,1,Health,654.89,0
40,2,1,Life,578.27,1
64,2,0,Life,616.91,1
79,10,2,Life,775.52,1
21,9,1,Motor,516.42,0
33,13,3,Motor,625.78,0
61,12,3,Motor,748.41,1
47,1,1,Health,663.84,0
58,4,1,Motor,670.65,0
56,12,0,Life,670.37,1
39,10,1,Motor,522.29,0
74,5,1,Life,661.95,0
34,12,2,Health,716.71,0
73,4,2,Health,721.76,0
56,12,0,Life,617.79,0
64,8,1,Health,675.02,0
33,10,1,Health,559.38,0
29,2,0,Health,474.74,0
39,9,1,Motor,608.23,1
41,12,1,Motor,533.5,0
36,5,1,Health,586.42,0
20,13,3,Health,577.32,0
51,7,0,Health,624.26,0
28,1,2,Health,625.95,0
43,2,0,Motor,562.9,0
20,10,0,Motor,510.13,0
54,12,0,Health,647.46,1
34,14,1,Health,615.55,0
78,13,0,Life,652.87,0
20,1,1,Life,563.43,0
24,11,1,Health,608.08,0
37,1,0,Motor,525.76,0
31,2,0,Life,585.96,0
35,12,0,Life,513.02,0
56,14,0,Life,629.28,0
66,5,0,Health,645.53,0
35,4,1,Life,609.52,0
77,3,0,Motor,674.19,0
18,3,1,Health,539.96,0
44,7,1,Life,641.06,0
61,6,1,Health,750.74,1
45,3,0,Life,582.06,0
25,14,1,Health,505.02,0
50,12,0,Motor,565.59,0
31,3,1,Life,573.75,1
27,4,0,Life,505.57,0
30,3,0,Life,479.2,1
71,5,0,Health,708.26,0
32,6,0,Life,540.39,0
27,6,1,Health,580.74,0
33,4,0,Health,507.1,0
49,9,0,Motor,571.19,0
29,4,2,Health,609.79,0
67,11,1,Life,676.82,1
52,9,3,Motor,802.53,0
23,10,2,Health,628.8,0
49,13,0,Motor,515.4,0
61,11,1,Motor,632.34,0
22,7,0,Motor,535.59,0
38,6,1,Life,620.36,0
66,6,0,Life,625.74,0
43,6,0,Health,625.43,0
23,6,2,Motor,651.38,0
31,13,0,Motor,591.75,0
22,6,0,Health,425.58,0
41,13,0,Motor,529.21,0
50,9,1,Health,593.56,0
24,10,0,Motor,517.02,0
37,13,1,Motor,580.36,0
27,8,0,Motor,511.25,1
23,4,0,Life,500.62,0
47,1,2,Motor,622.54,0
57,5,0,Life,630.86,0
47,8,1,Health,648.42,0
61,9,3,Life,811.75,0
75,9,1,Life,702.6,0
46,9,1,Life,616.5,0
31,2,0,Life,558.03,1
24,8,1,Motor,510.5,1
27,5,1,Health,567.06,0
64,14,1,Motor,747.3,0
62,4,0,Life,680.78,0
59,1,1,Life,689.69,0
62,9,2,Motor,754.43,0
30,13,0,Motor,536.95,0
47,7,0,Motor,632.36,0
29,13,0,Life,515.36,0
62,7,0,Health,617.17,0
68,7,1,Life,695.79,1
26,12,2,Motor,658.65,1
38,10,0,Life,515.01,1
36,11,0,Motor,467.54,1
64,4,2,Life,761.62,0
71,14,1,Life,750.95,0
65,12,0,Life,632.83,0
49,1,0,Motor,544.57,1
70,3,1,Health,681.05,0
29,5,2,Health,621.22,0
79,12,1,Life,770.52,1
74,4,1,Motor,841.91,0
48,10,1,Motor,672.56,0
42,12,1,Life,640.72,0
42,14,1,Life,587.03,0
54,11,0,Health,614.91,1
27,10,1,Motor,555.73,0
18,1,0,Motor,465.35,1
68,11,0,Motor,662.25,0
77,6,0,Life,669.16,0
19,4,0,Motor,496.27,0
50,7,1,Life,668.64,0
69,3,1,Motor,839.72,0
36,10,0,Health,591.82,0
49,7,2,Motor,721.37,0
32,14,2,Life,589.19,0
52,4,1,Health,616.11,0
21,8,0,Health,476.93,0
25,3,0,Life,483.55,0
72,5,2,Life,804.25,0
47,11,0,Motor,561.21,1
78,9,0,Motor,665.59,0
31,3,1,Life,572.16,0
37,6,1,Life,603.46,0
63,4,2,Motor,774.59,1
24,2,1,Life,518.49,0
65,8,0,Life,662.93,0
22,4,1,Motor,508.16,0
33,6,1,Life,539.47,0
55,3,0,Life,621.41,1
32,8,2,Health,600.55,0
33,3,1,Life,547.73,1
69,5,0,Health,786.29,0
77,2,0,Health,736.86,0
63,8,1,Health,665.24,0
51,5,3,Motor,741.6,0
32,7,1,Life,625.29,0
28,7,2,Motor,617.11,0
51,10,0,Motor,636.07,0
58,2,1,Health,655.96,0
20,11,1,Health,491.68,0
42,5,1,Health,697.29,1
23,5,2,Motor,569.73,0
58,9,1,Health,658.6,0
56,4,1,Health,658.01,0
49,14,2,Life,705.83,0
38,1,1,Health,640.35,0
59,4,0,Health,591.1,0
28,4,1,Motor,572.4,1
59,12,0,Health,688.02,0
24,9,0,Health,468.64,1
54,8,1,Health,709.72,1
76,2,0,Health,750.08,1
45,5,1,Health,566.95,0
67,6,1,Life,743.04,0
22,9,1,Life,516.81,0
44,14,0,Motor,626.37,0
76,13,1,Motor,727.51,0
24,11,0,Life,546.04,0
20,10,0,Health,459.28,0
46,5,4,Life,789.84,0
75,5,0,Health,748.9,1
64,3,0,Motor,686.11,1
72,10,1,Life,731.89,0
56,2,2,Motor,806.76,0
65,1,0,Motor,685.91,0
24,12,1,Life,574.71,0
55,10,1,Motor,608.86,1
72,7,0,Health,625.68,1
34,3,2,Health,650.9,1
76,1,1,Motor,782.24,0
59,7,0,Life,591.22,0
45,1,2,Health,724.93,0
41,11,0,Life,555.36,0
39,5,1,Life,564.28,0
60,12,2,Life,724.42,0
36,2,1,Health,589.01,0
68,13,1,Health,751.39,1
47,6,0,Motor,606.76,0
57,4,2,Health,742.52,1
31,6,1,Motor,592.35,0
62,7,0,Health,609.92,1
63,7,1,Life,724.52,0
42,3,0,Health,514.25,1
39,13,1,Health,580.5,1
40,7,1,Health,557.02,0
25,1,2,Motor,576.47,0
72,2,1,Motor,732.66,1
63,6,0,Health,684.9,0
36,12,0,Health,547.6,0
23,6,2,Health,580.66,1
53,4,1,Life,647.2,0
60,3,0,Life,552.81,0
35,5,0,Health,505.68,0
77,4,2,Health,850.16,1
44,7,0,Health,575.28,1
31,10,0,Health,468.08,0
31,6,0,Life,494.57,0
28,6,1,Health,543.88,0
63,14,2,Motor,769.72,0
62,11,2,Life,706.04,0
55,1,0,Life,642.74,0
61,8,2,Motor,795.41,0
63,10,1,Life,674.51,0
62,4,0,Health,594.57,0
43,11,1,Health,616.48,0
57,12,0,Motor,619.2,0
79,6,2,Health,885.3,0
62,5,0,Life,636.75,0
44,8,0,Health,599.86,0
52,8,0,Motor,632.41,0
19,7,1,Life,528.95,1
22,10,1,Health,541.55,0
51,10,1,Life,619.5,0
49,4,1,Motor,695.59,0
73,7,0,Health,709.69,0
41,4,2,Life,667.38,0
49,10,1,Motor,647.64,0
73,8,2,Health,833.06,1
56,3,3,Motor,797.48,1
67,8,1,Motor,740.8,0
41,6,0,Life,536.62,1
45,1,0,Motor,527.15,0
57,12,1,Motor,744.71,0
25,6,0,Health,527.87,0
49,3,1,Motor,636.79,1
45,7,0,Health,625.26,1
78,1,1,Health,709.44,1
52,8,1,Life,679.73,0
44,13,1,Health,625.43,0
68,9,2,Life,732.49,0
35,4,2,Health,689.11,0
77,2,0,Life,710.71,1
47,1,2,Motor,583.7,0
71,9,3,Health,833.88,1
27,1,1,Motor,548.0,1
60,12,1,Life,663.13,0
65,11,2,Health,778.05,0
66,2,1,Health,731.13,1
46,7,0,Health,536.11,0
56,6,0,Health,671.48,1
64,6,0,Motor,649.95,0
32,10,2,Health,625.88,0
25,4,0,Life,442.37,0
58,14,0,Life,682.04,1
41,5,1,Health,628.61,0
18,4,0,Health,485.44,0
48,4,1,Life,626.79,0
42,9,0,Motor,580.6,0
48,14,0,Motor,620.67,1
77,5,1,Life,792.6,1
67,11,0,Motor,716.41,0
64,11,0,Motor,636.23,0
56,14,0,Motor,591.47,0
24,7,1,Motor,557.49,0
78,2,0,Life,679.86,1
63,5,1,Motor,732.99,1
24,4,1,Health,537.19,0
57,11,0,Health,611.79,0
71,4,0,Motor,746.39,1
63,8,1,Life,820.13,0
52,8,1,Life,623.08,0
62,13,0,Health,657.84,0
47,6,1,Motor,638.58,0
52,6,1,Life,667.18,0
52,2,0,Life,673.74,0
34,14,0,Motor,555.56,0
37,11,1,Life,613.89,0
75,1,0,Life,767.58,0
25,5,0,Health,489.08,0
75,4,0,Life,701.62,0
52,13,2,Motor,703.27,0
19,7,2,Life,612.73,1
60,5,1,Health,647.94,1
30,2,0,Health,508.6,1
35,11,0,Motor,548.51,0
44,9,1,Life,639.91,1
59,14,2,Health,740.56,0
50,7,1,Health,661.01,1
32,8,1,Life,568.12,0
53,4,1,Health,645.75,0
72,13,0,Life,756.38,0
46,1,2,Health,688.32,0
72,13,1,Health,692.03,0
44,6,2,Health,652.18,1
20,12,2,Health,549.73,0
50,7,1,Health,614.05,0
49,3,0,Life,676.2,0
41,4,1,Life,683.05,0
29,7,1,Health,552.95,1
23,6,0,Life,504.01,1
44,3,1,Motor,686.5,1
63,10,3,Health,708.93,1
72,14,1,Life,779.05,0
19,10,0,Life,422.06,0
35,6,3,Health,658.71,0
22,7,1,Health,490.23,0
66,8,0,Life,649.8,0
24,10,1,Health,521.35,1
36,6,1,Health,600.12,1
58,11,0,Motor,603.98,0
41,8,5,Motor,825.8,0
19,14,0,Life,527.37,0
51,12,1,Motor,578.25,0
30,9,2,Health,609.78,0
57,8,1,Motor,699.48,0
70,6,1,Life,678.38,0
35,14,1,Health,579.55,0
45,13,0,Health,553.26,0
52,12,0,Health,627.85,1
23,1,2,Health,602.46,1
70,7,1,Life,775.01,0
50,14,1,Motor,606.96,1
52,10,1,Motor,592.26,0
70,12,2,Health,744.41,0
32,3,2,Motor,606.27,1
52,10,0,Motor,601.8,0
64,5,2,Health,718.13,0
68,10,1,Health,764.9,1
69,12,1,Health,655.74,0
53,6,0,Health,637.47,0
71,12,0,Motor,621.14,0
58,11,1,Motor,637.73,0
25,4,0,Life,485.89,1
20,13,0,Health,470.99,0
27,5,1,Motor,609.67,0
32,14,0,Motor,554.87,0
66,7,2,Health,719.86,0
43,11,2,Health,610.99,0
74,10,2,Motor,779.16,0
51,11,0,Health,547.15,0
20,13,0,Health,489.64,0
19,10,0,Life,509.48,0
63,13,0,Motor,647.36,0
19,8,0,Health,450.06,0
27,8,1,Life,563.73,1
29,8,0,Health,550.2,0
58,10,1,Motor,634.93,0
62,5,0,Motor,654.64,0
34,5,0,Life,538.22,1
69,6,0,Motor,701.19,0
71,11,0,Life,631.2,0
39,5,0,Health,526.43,0
74,8,0,Motor,689.59,0
35,12,1,Health,578.1,0
43,11,0,Motor,572.12,1
71,11,0,Motor,735.31,1
23,6,1,Health,587.45,0
62,6,0,Motor,652.41,0
21,12,1,Life,550.65,0
53,5,0,Health,511.45,1
55,14,2,Motor,759.3,0
41,4,0,Health,602.91,1
53,10,1,Health,671.84,0
65,13,1,Motor,661.91,1
71,10,0,Health,689.83,1
30,14,1,Life,557.93,0
50,1,0,Health,651.49,1
32,12,0,Motor,547.84,0
52,9,1,Motor,656.18,0
36,13,1,Motor,599.45,1
26,12,0,Life,532.35,0
57,13,0,Motor,621.97,1
61,6,3,Life,806.63,0
68,4,1,Life,691.07,0
69,12,0,Health,691.04,0
53,11,2,Life,713.62,0
77,7,0,Motor,737.14,0
62,7,0,Health,738.44,1
26,10,1,Life,583.66,0
32,7,1,Motor,623.51,1
30,6,0,Health,515.8,0
78,9,0,Life,713.54,0
20,6,1,Life,565.72,0
29,8,2,Motor,554.35,0
64,2,0,Life,635.13,0
34,4,2,Life,698.49,0
53,5,1,Motor,706.11,0
73,6,1,Health,775.38,0
71,9,2,Life,802.02,0
79,3,2,Health,766.09,0
28,6,2,Life,568.33,0
19,2,3,Motor,672.51,1
41,10,1,Motor,612.5,0
31,8,1,Motor,552.38,0
41,2,2,Health,733.85,1
32,6,1,Motor,610.39,0
57,1,1,Health,752.35,0
65,13,0,Motor,654.84,1
67,12,2,Health,808.74,0
52,14,1,Life,658.34,0
61,9,2,Health,757.97,1
32,6,1,Health,606.69,0
33,5,1,Life,603.13,0
66,9,2,Life,758.78,0
59,1,0,Motor,590.95,1
59,7,2,Health,749.27,0
78,5,1,Life,769.43,0
19,11,2,Health,534.63,0
55,4,1,Motor,682.18,0
57,14,1,Health,668.8,0
34,5,0,Motor,535.35,0
53,14,1,Health,589.5,0
41,5,0,Health,590.37,0
47,14,1,Life,649.76,0
27,12,1,Motor,573.72,1
53,6,0,Motor,615.55,1
56,11,2,Health,685.41,0
35,8,0,Health,521.59,0
61,3,0,Health,668.51,0
57,11,1,Motor,675.48,0
79,4,2,Health,813.25,0
32,6,2,Health,563.53,1
34,3,3,Health,659.73,0
69,4,2,Health,760.09,0
50,3,2,Motor,726.83,1
37,5,1,Motor,635.68,0
77,8,1,Life,783.52,0
53,10,2,Health,663.93,0
60,14,1,Motor,735.04,0
23,6,2,Health,517.88,0
46,1,0,Health,513.42,1
45,2,0,Life,572.32,0
42,2,1,Motor,596.86,0
79,9,3,Motor,913.25,0
28,4,0,Life,474.84,1
62,6,3,Health,773.07,1
22,9,0,Life,519.56,0
57,3,1,Health,717.22,0
71,13,1,Life,742.82,0
68,9,1,Motor,653.63,0
75,10,1,Health,716.21,1
66,8,0,Life,712.18,0
71,3,0,Motor,731.84,0
30,14,0,Motor,582.87,0
29,5,1,Motor,600.33,0
53,14,3,Motor,790.13,1
39,10,0,Health,506.22,0
54,2,1,Health,668.0,0
22,10,0,Life,543.41,1
25,6,0,Life,531.63,0
42,12,0,Health,542.13,0
49,6,0,Health,659.4,0
74,3,2,Health,757.74,0
51,11,2,Health,662.82,0
66,5,0,Health,706.73,0
72,13,0,Motor,725.48,1
29,12,1,Life,560.35,0
45,3,2,Health,677.04,1
62,8,0,Health,582.81,0
66,7,0,Health,691.44,0
76,4,0,Health,640.02,1
23,6,1,Health,527.02,0
36,4,1,Motor,629.18,1
58,12,2,Motor,795.49,0
29,8,1,Life,616.74,1
40,7,0,Life,569.86,1
55,4,1,Motor,723.47,0
70,9,0,Health,676.83,0
45,3,0,Motor,483.45,0
30,9,1,Life,528.25,1
47,4,1,Life,612.45,0
69,8,2,Health,813.54,1
63,1,1,Motor,699.26,0
71,6,1,Health,775.58,0
68,5,0,Health,668.51,0
78,13,2,Health,803.73,0
31,2,0,Health,562.69,1
39,6,0,Motor,523.1,1
62,5,0,Health,657.08,0
55,14,0,Health,608.56,0
41,4,3,Health,780.67,1
39,1,1,Motor,609.77,0
26,10,1,Health,463.26,0
37,13,1,Health,613.61,0
58,7,2,Motor,749.48,0
65,8,0,Motor,681.72,0
20,10,1,Health,565.31,0
28,14,2,Life,568.1,0
70,10,1,Health,670.95,0
42,8,0,Motor,594.02,0
47,10,1,Motor,591.48,1
47,8,0,Health,580.31,1
56,14,2,Life,668.79,0
20,5,2,Health,611.09,1
42,13,1,Life,644.7,0
30,1,1,Motor,519.53,1
59,11,1,Health,670.09,0
76,5,1,Health,748.09,0
50,8,0,Life,596.19,0
72,10,0,Motor,723.81,0
48,13,0,Motor,567.82,1
27,9,0,Life,503.15,0
64,3,1,Health,687.33,0
37,9,1,Life,658.82,0
53,9,1,Life,666.36,0
25,14,1,Life,542.69,0
34,14,1,Motor,606.49,0
49,1,1,Motor,611.87,0
64,11,1,Health,757.5,0
33,4,1,Motor,641.34,0
40,6,0,Health,642.72,0
32,14,0,Life,585.59,0
22,9,0,Life,484.72,0
63,2,2,Life,802.72,0
35,11,1,Motor,546.95,0
77,11,1,Life,753.34,1
26,1,0,Health,534.89,1
46,1,0,Motor,585.77,0
42,9,1,Life,577.0,0
74,8,0,Health,659.98,0
55,1,3,Motor,776.8,1
45,4,0,Health,568.87,1
74,13,0,Health,693.69,0
48,9,0,Life,616.06,0
40,7,2,Life,663.31,0
23,13,3,Motor,637.71,0
58,4,0,Life,651.32,0
25,7,1,Health,620.29,0
19,11,0,Life,516.7,0
54,5,0,Health,639.05,0
45,5,0,Health,562.98,0
30,2,1,Motor,531.82,0
52,10,0,Health,722.69,0
59,8,0,Health,646.29,0
65,5,3,Health,884.63,0
77,8,1,Motor,625.96,0
64,11,0,Motor,660.28,1
40,12,1,Health,620.88,1
73,7,0,Motor,695.36,0
32,5,0,Health,505.13,0
45,10,1,Motor,618.63,0
19,10,1,Life,528.28,1
47,1,1,Health,629.44,0
28,1,1,Health,585.23,1
61,8,1,Health,687.24,0
53,4,0,Health,566.99,0
63,3,2,Health,769.2,0
78,7,0,Life,646.36,0
35,14,0,Life,528.68,0
69,10,0,Health,660.55,0
26,8,1,Motor,482.84,1
72,11,0,Motor,724.79,1
29,2,0,Life,451.11,1
69,14,1,Motor,709.67,0
72,1,1,Life,748.98,1
70,14,1,Life,715.63,1
23,3,1,Motor,521.0,0
30,1,1,Life,505.74,0
25,13,2,Health,608.33,0
58,2,0,Health,603.28,0
26,6,0,Motor,521.9,0
56,13,1,Health,704.32,0
46,8,1,Health,642.61,0
69,12,0,Motor,655.3,0
56,2,1,Motor,686.2,1
21,9,0,Health,448.71,0
25,7,1,Life,526.16,0
31,5,0,Motor,566.4,1
63,4,2,Health,814.38,1
60,8,0,Motor,597.5,1
79,12,0,Life,707.8,0
72,7,2,Life,691.33,0
62,10,0,Life,659.73,0
22,5,0,Health,456.1,0
68,11,0,Life,706.12,0
47,9,0,Health,542.44,1
58,13,1,Health,552.27,1
53,10,1,Health,663.11,0
18,6,1,Life,567.28,1
64,13,0,Motor,637.36,0
49,9,2,Life,685.89,1
66,13,0,Health,683.06,0
54,6,0,Life,672.92,1
51,1,1,Motor,615.16,0
24,10,2,Motor,551.35,1
40,10,0,Health,586.09,0
41,6,0,Motor,543.88,0
71,13,1,Life,698.25,1
62,5,1,Life,792.56,1
48,9,1,Motor,603.75,0
74,4,1,Life,762.06,0
27,8,1,Motor,610.42,0
28,4,0,Health,517.52,1
79,11,0,Life,683.42,1
49,5,1,Life,628.58,1
52,10,1,Health,716.27,0
45,3,0,Health,572.24,0
40,6,0,Life,547.11,0
56,14,1,Health,674.55,1
59,14,1,Motor,694.96,1
32,5,1,Health,556.1,0
72,8,0,Motor,607.94,0
43,7,0,Health,619.11,0
74,3,1,Motor,698.59,0
59,6,1,Motor,734.74,0
53,9,1,Health,648.85,0
67,12,0,Health,563.28,0
58,6,1,Health,694.17,0
27,13,0,Health,491.98,1
21,2,1,Life,587.47,1
23,1,2,Motor,569.88,0
73,10,1,Life,745.13,0
20,11,1,Health,484.58,0
42,9,0,Life,581.46,0
57,9,0,Health,633.54,0
57,6,3,Health,789.88,1
50,3,1,Motor,650.25,0
43,2,2,Life,708.11,0
55,1,0,Motor,549.49,0
74,2,2,Motor,760.38,0
62,5,4,Life,873.2,0
78,6,1,Health,780.78,0
39,4,0,Motor,505.76,0
52,14,0,Health,629.07,1
50,12,0,Health,610.39,0
74,6,1,Health,720.26,0
71,13,1,Life,720.76,0
37,7,1,Health,524.24,1
67,7,1,Health,657.45,0
67,14,1,Health,719.26,1
34,10,2,Motor,597.64,0
71,10,1,Health,735.0,1
52,6,1,Life,672.41,0
25,11,1,Life,557.26,0
61,1,0,Life,690.57,0
45,11,0,Health,626.25,0
27,5,0,Life,516.22,1
26,10,0,Health,446.78,0
63,11,1,Health,657.79,1
24,13,0,Health,383.03,0
38,8,1,Health,630.51,0
35,8,2,Health,684.47,0
25,4,1,Motor,602.71,0
19,9,0,Health,579.85,0
30,3,2,Motor,583.88,0
40,13,0,Motor,556.8,1
48,3,1,Health,647.73,0
78,3,0,Life,728.81,0
45,8,1,Life,638.48,0
69,1,1,Motor,726.97,1
49,8,1,Health,574.33,1
72,5,0,Health,694.91,1
68,7,0,Health,704.8,0
49,7,0,Health,564.49,0
76,4,1,Health,816.8,0
52,4,0,Life,571.06,0
44,13,0,Motor,539.84,1
73,1,1,Motor,731.12,0
55,13,0,Motor,664.78,0
38,7,1,Life,559.18,0
33,3,0,Health,543.11,0
73,7,0,Health,701.68,1
42,14,0,Life,502.42,0
51,11,0,Motor,606.62,1
76,12,3,Life,851.97,0
46,14,1,Motor,675.43,0
59,10,1,Life,640.24,1
70,8,2,Motor,771.67,0
46,13,2,Motor,661.92,0
59,3,0,Life,611.94,0
49,12,0,Health,617.84,0
48,11,0,Health,663.82,0
56,5,2,Health,731.75,1
36,6,1,Health,595.3,0
18,2,1,Motor,440.41,0
78,11,1,Health,750.97,0
47,8,0,Health,658.74,0
78,4,0,Life,846.15,1
63,5,0,Health,642.86,0
53,7,0,Life,657.57,0
57,4,1,Health,703.22,0
77,11,0,Health,704.5,0
24,4,1,Life,584.07,0
70,14,1,Motor,735.3,1
19,13,0,Life,498.77,0
55,14,0,Motor,701.14,0
50,9,1,Life,625.47,0
59,6,2,Motor,668.52,0
67,9,1,Motor,743.3,0
21,1,0,Health,485.76,0
32,1,2,Motor,596.77,0
20,6,2,Life,574.9,0
56,5,1,Life,675.75,1
67,4,2,Health,762.34,0
41,10,1,Health,579.95,0
26,9,0,Motor,548.17,0
24,7,1,Health,472.42,0
32,6,0,Health,587.27,0
37,13,2,Health,674.92,0
72,6,1,Motor,724.98,0
34,7,1,Health,616.99,0
37,13,0,Life,547.76,0
24,10,3,Health,708.51,1
63,14,1,Health,710.45,0
68,13,1,Life,778.73,0
45,9,0,Life,666.21,0
58,10,0,Life,623.46,0
56,4,0,Health,556.22,0
55,3,1,Life,714.95,0
23,6,2,Health,504.2,0
44,9,1,Life,620.12,0
60,7,3,Health,777.74,1
60,1,0,Motor,684.75,0
47,14,1,Life,672.44,0
69,10,0,Health,667.85,0
48,14,0,Life,599.16,0
54,10,0,Life,577.54,0
39,11,1,Health,560.54,0
59,7,0,Motor,628.06,0
79,9,0,Health,700.38,0
60,10,1,Life,727.23,0
32,9,1,Health,554.84,0
58,7,0,Life,536.01,0
44,2,2,Life,715.33,1
27,2,1,Health,567.41,0
66,4,1,Health,777.23,0
64,11,1,Health,690.04,0
78,5,1,Life,749.17,0
48,5,1,Health,744.93,0
24,2,2,Motor,579.1,1
75,13,0,Health,709.25,0
26,14,1,Life,481.68,0
76,4,2,Life,767.86,0
19,12,1,Motor,482.92,0
32,7,1,Life,540.58,0
48,12,0,Motor,650.39,0
